round_epochs,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,batch_size,epochs,first_neuron,last_activation,loss,lr,optimizer,weight_regulizer
40,2.1407737731933594,0.8854766488075256,2.3423521518707275,0.7247620820999146,2,40,480,sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.1649537086486816,0.884117066860199,2.379169225692749,0.6995708346366882,2,40,480,sigmoid,categorical_crossentropy,0.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.1191554069519043,0.9286628365516663,2.3335039615631104,0.7335323691368103,2,40,480,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.1284470558166504,0.9273832440376282,2.3428218364715576,0.7059152722358704,2,40,480,hard_sigmoid,categorical_crossentropy,0.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.144576072692871,0.876519501209259,2.3426403999328613,0.7176712155342102,2,40,400,sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.138535737991333,0.9084293246269226,2.3606503009796143,0.7122597694396973,2,40,400,sigmoid,categorical_crossentropy,0.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.114497661590576,0.9300224184989929,2.327141046524048,0.7361447811126709,2,40,400,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.114351749420166,0.947776734828949,2.332946538925171,0.7122597694396973,2,40,400,hard_sigmoid,categorical_crossentropy,0.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.256767511367798,0.7683141231536865,2.331125259399414,0.6878148913383484,32,40,480,sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.1288373470306396,0.8976327776908875,2.3425796031951904,0.7271879315376282,32,40,480,sigmoid,categorical_crossentropy,0.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.233889579772949,0.7966250777244568,2.3223321437835693,0.6978914141654968,32,40,480,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.113663911819458,0.9349808096885681,2.3381519317626953,0.7303601503372192,32,40,480,hard_sigmoid,categorical_crossentropy,0.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.2719948291778564,0.7430422306060791,2.339878797531128,0.6747527718544006,32,40,400,sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.122758626937866,0.8993121981620789,2.3346831798553467,0.7277477383613586,32,40,400,sigmoid,categorical_crossentropy,0.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.2460293769836426,0.7807901501655579,2.326876640319824,0.6977047920227051,32,40,400,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.1079306602478027,0.9359405040740967,2.332124710083008,0.7286807298660278,32,40,400,hard_sigmoid,categorical_crossentropy,0.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
